Gene	Gene name
ENSMUSG00000020372	Rack1
ENSMUSG00000068798	Rap1a
ENSMUSG00000057236	Rbbp4
ENSMUSG00000089824	Rbm12
ENSMUSG00000022400	Rbx1
ENSMUSG00000010362	Rdm1
ENSMUSG00000008682	Rpl10
ENSMUSG00000037805	Rpl10a
ENSMUSG00000038900	Rpl12
ENSMUSG00000000740	Rpl13
ENSMUSG00000025794	Rpl14
ENSMUSG00000012405	Rpl15
ENSMUSG00000059070	Rpl18
ENSMUSG00000041453	Rpl21
ENSMUSG00000028936	Rpl22
ENSMUSG00000039221	Rpl22l1
ENSMUSG00000058546	Rpl23a
ENSMUSG00000078126	Rpl23a-ps3
ENSMUSG00000098274	Rpl24
ENSMUSG00000060938	Rpl26
ENSMUSG00000063316	Rpl27
ENSMUSG00000060036	Rpl3
ENSMUSG00000073702	Rpl31
ENSMUSG00000057841	Rpl32
ENSMUSG00000062006	Rpl34
ENSMUSG00000060636	Rpl35a
ENSMUSG00000057863	Rpl36
ENSMUSG00000079435	Rpl36a
ENSMUSG00000041841	Rpl37
ENSMUSG00000046330	Rpl37a
ENSMUSG00000057322	Rpl38
ENSMUSG00000079641	Rpl39
ENSMUSG00000058558	Rpl5
ENSMUSG00000029614	Rpl6
ENSMUSG00000043716	Rpl7
ENSMUSG00000003970	Rpl8
ENSMUSG00000047215	Rpl9
ENSMUSG00000067274	Rplp0
ENSMUSG00000007892	Rplp1
ENSMUSG00000025508	Rplp2
ENSMUSG00000036114	Rpp25l
ENSMUSG00000052146	Rps10
ENSMUSG00000003429	Rps11
ENSMUSG00000061983	Rps12
ENSMUSG00000090862	Rps13
ENSMUSG00000024608	Rps14
ENSMUSG00000063457	Rps15
ENSMUSG00000008683	Rps15a
ENSMUSG00000037563	Rps16
ENSMUSG00000061787	Rps17
ENSMUSG00000008668	Rps18
ENSMUSG00000040952	Rps19
ENSMUSG00000044533	Rps2
ENSMUSG00000028234	Rps20
ENSMUSG00000039001	Rps21
ENSMUSG00000049517	Rps23
ENSMUSG00000009927	Rps25
ENSMUSG00000090733	Rps27
ENSMUSG00000020460	Rps27a
ENSMUSG00000067288	Rps28
ENSMUSG00000034892	Rps29
ENSMUSG00000028081	Rps3a1
ENSMUSG00000031320	Rps4x
ENSMUSG00000012848	Rps5
ENSMUSG00000061477	Rps7
ENSMUSG00000047675	Rps8
ENSMUSG00000006333	Rps9
ENSMUSG00000002064	Sdf2
ENSMUSG00000026154	Sdhaf4
ENSMUSG00000024516	Sec11c
ENSMUSG00000036309	Skp1a
ENSMUSG00000058173	Smco4
ENSMUSG00000044600	Smim7
ENSMUSG00000040767	Snrnp25
ENSMUSG00000040824	Snrpd2
ENSMUSG00000090553	Snrpe
ENSMUSG00000057278	Snrpg
ENSMUSG00000044408	Sptssa
ENSMUSG00000071172	Srsf3
ENSMUSG00000024097	Srsf7
ENSMUSG00000021384	Susd3
ENSMUSG00000023051	Tarbp2
ENSMUSG00000079658	Tceb1
ENSMUSG00000039461	Tcta
ENSMUSG00000026049	Tex30
ENSMUSG00000003923	Tfam
ENSMUSG00000022797	Tfrc
ENSMUSG00000020219	Timm13
ENSMUSG00000028618	Tmem59
ENSMUSG00000028407	Toporsos
ENSMUSG00000026942	Traf2
ENSMUSG00000039725	Trp53rka
ENSMUSG00000103711	Tstd1
ENSMUSG00000002395	Use1
ENSMUSG00000000561	Wdr77
ENSMUSG00000045690	Wdr89
ENSMUSG00000034173	Zbed5
ENSMUSG00000031428	Zcchc18
ENSMUSG00000062397	Zfp706
ENSMUSG00000036315	Znrd1
ENSMUSG00000030982	9030624J02Rik
ENSMUSG00000021037	Ahsa1
ENSMUSG00000035048	Anapc13
ENSMUSG00000022841	Ap2m1
ENSMUSG00000020440	Arf5
ENSMUSG00000034566	Atp5h
ENSMUSG00000004285	Atp6v1f
ENSMUSG00000039105	Atp6v1g1
ENSMUSG00000034108	Ccs
ENSMUSG00000032679	Cd59a
ENSMUSG00000055128	Cgrrf1
ENSMUSG00000029229	Chic2
ENSMUSG00000038467	Chmp4b
ENSMUSG00000024248	Cox7a2l
ENSMUSG00000035885	Cox8a
ENSMUSG00000022365	Derl1
ENSMUSG00000055762	Eef1d
ENSMUSG00000053565	Eif3k
ENSMUSG00000019428	Fkbp8
ENSMUSG00000031590	Frg1
ENSMUSG00000018567	Gabarap
ENSMUSG00000078193	Gm2000
ENSMUSG00000001105	Ift20
ENSMUSG00000019794	Katna1
ENSMUSG00000035027	Map2k2
ENSMUSG00000036112	Metap2
ENSMUSG00000016427	Ndufa1
ENSMUSG00000028923	Necap2
ENSMUSG00000046034	Otulin
ENSMUSG00000028779	Pef1
ENSMUSG00000087687	Pet100
ENSMUSG00000038910	Plcl2
ENSMUSG00000036835	Psenen
ENSMUSG00000026126	Ptpn18
ENSMUSG00000032026	Rexo2
ENSMUSG00000110344	RP23-220F20.2
ENSMUSG00000017404	Rpl19
ENSMUSG00000030432	Rpl28
ENSMUSG00000062997	Rpl35
ENSMUSG00000025290	Rps24
ENSMUSG00000042312	S100a13
ENSMUSG00000031622	Sin3b
ENSMUSG00000058351	Smim4
ENSMUSG00000009549	Srp14
ENSMUSG00000028643	Svbp
ENSMUSG00000055839	Tceb2
ENSMUSG00000031158	Timm17b
ENSMUSG00000040234	Tm7sf3
ENSMUSG00000091537	Tma7
ENSMUSG00000023010	Tmbim6
ENSMUSG00000025875	Tspan17
ENSMUSG00000084786	Ubl5
ENSMUSG00000063882	Uqcrh
ENSMUSG00000025035	Arl3
ENSMUSG00000018585	Atox1
ENSMUSG00000050856	Atp5k
ENSMUSG00000013160	Atp6v0d1
ENSMUSG00000015575	Atp6v0e
ENSMUSG00000084957	Bbip1
ENSMUSG00000036299	BC031181
ENSMUSG00000002015	Bcap31
ENSMUSG00000033940	Brk1
ENSMUSG00000038722	Bud31
ENSMUSG00000030007	Cct7
ENSMUSG00000040747	Cd53
ENSMUSG00000000743	Chmp1a
ENSMUSG00000017188	Coa3
ENSMUSG00000060992	Copz1
ENSMUSG00000031818	Cox4i1
ENSMUSG00000000088	Cox5a
ENSMUSG00000032330	Cox7a2
ENSMUSG00000031231	Cox7b
ENSMUSG00000017778	Cox7c
ENSMUSG00000019362	D8Ertd738e
ENSMUSG00000025410	Dctn2
ENSMUSG00000020108	Ddit4
ENSMUSG00000005483	Dnajb1
ENSMUSG00000068335	Dok1
ENSMUSG00000021905	Dph3
ENSMUSG00000009013	Dynll1
ENSMUSG00000061111	Fam195b
ENSMUSG00000041035	Gm17018
ENSMUSG00000068523	Gng5
ENSMUSG00000020737	Hn1
ENSMUSG00000039745	Htatip2
ENSMUSG00000034509	Mad2l1bp
ENSMUSG00000050608	Minos1
ENSMUSG00000023861	Mpc1
ENSMUSG00000071711	Mpst
ENSMUSG00000026087	Mrpl30
ENSMUSG00000023723	Mrps23
ENSMUSG00000002379	Ndufa11
ENSMUSG00000036199	Ndufa13
ENSMUSG00000022450	Ndufa6
ENSMUSG00000041881	Ndufa7
ENSMUSG00000033938	Ndufb7
ENSMUSG00000022354	Ndufb9
ENSMUSG00000021764	Ndufs4
ENSMUSG00000020153	Ndufs7
ENSMUSG00000010376	Nedd8
ENSMUSG00000030750	Nsmce1
ENSMUSG00000014301	Pam16
ENSMUSG00000038489	Polr2l
ENSMUSG00000034006	Pqlc1
ENSMUSG00000039515	Ptpa
ENSMUSG00000004771	Rab11a
ENSMUSG00000024925	Rnaseh2c
ENSMUSG00000027502	Rtfdc1
ENSMUSG00000022437	Samm50
ENSMUSG00000046229	Scand1
ENSMUSG00000028249	Sdcbp
ENSMUSG00000068874	Selenbp1
ENSMUSG00000008384	Sertad1
ENSMUSG00000022452	Smdt1
ENSMUSG00000022982	Sod1
ENSMUSG00000021917	Spcs1
ENSMUSG00000020225	Tmbim4
ENSMUSG00000067365	Tmem128
ENSMUSG00000036372	Tmem258
ENSMUSG00000028822	Tmem50a
ENSMUSG00000031021	Tmem9b
ENSMUSG00000020308	Tpgs1
ENSMUSG00000015013	Trappc2l
ENSMUSG00000002043	Trappc6a
ENSMUSG00000029535	Triap1
ENSMUSG00000041736	Tspo
ENSMUSG00000023277	Twf2
ENSMUSG00000059534	Uqcr10
ENSMUSG00000020163	Uqcr11
ENSMUSG00000044894	Uqcrq
ENSMUSG00000001134	Uxt
ENSMUSG00000073002	Vamp5
ENSMUSG00000008892	Vdac3
ENSMUSG00000059355	Wdr83os
ENSMUSG00000024750	Zfand5
ENSMUSG00000019917	40422
ENSMUSG00000021023	1110008L16Rik
ENSMUSG00000040591	1110051M20Rik
ENSMUSG00000032300	1700017B05Rik
ENSMUSG00000041707	1810011H11Rik
ENSMUSG00000056313	1810011O10Rik
ENSMUSG00000071398	2410004P03Rik
ENSMUSG00000028300	3110043O21Rik
ENSMUSG00000031938	4931406C07Rik
ENSMUSG00000036046	5031439G07Rik
ENSMUSG00000073755	5730409E04Rik
ENSMUSG00000054951	9130008F23Rik
ENSMUSG00000040139	9430038I01Rik
ENSMUSG00000045838	A430105I19Rik
ENSMUSG00000047462	A530099J19Rik
ENSMUSG00000044749	Abca6
ENSMUSG00000041797	Abca9
ENSMUSG00000023088	Abcc1
ENSMUSG00000020865	Abcc3
ENSMUSG00000058355	Abce1
ENSMUSG00000032046	Abhd12
ENSMUSG00000042210	Abhd14a
ENSMUSG00000002475	Abhd3
ENSMUSG00000079190	AC133103.1
ENSMUSG00000020532	Acaca
ENSMUSG00000032047	Acat1
ENSMUSG00000044337	Ackr3
ENSMUSG00000020917	Acly
ENSMUSG00000026836	Acvr1
ENSMUSG00000023262	Acy1
ENSMUSG00000024866	Acy3
ENSMUSG00000028041	Adam15
ENSMUSG00000043822	Adamtsl5
ENSMUSG00000020262	Adarb1
ENSMUSG00000050994	Adgb
ENSMUSG00000031486	Adgra2
ENSMUSG00000004730	Adgre1
ENSMUSG00000002885	Adgre5
ENSMUSG00000039116	Adgrg6
ENSMUSG00000028184	Adgrl2
ENSMUSG00000039197	Adk
ENSMUSG00000031521	Aga
ENSMUSG00000050103	Agmo
ENSMUSG00000024782	Ak3
ENSMUSG00000026807	Ak8
ENSMUSG00000018428	Akap1
ENSMUSG00000021213	Akr1c13
ENSMUSG00000021214	Akr1c18
ENSMUSG00000045410	Akr1e1
ENSMUSG00000022636	Alcam
ENSMUSG00000013584	Aldh1a2
ENSMUSG00000017390	Aldoc
ENSMUSG00000018924	Alox15
ENSMUSG00000025701	Alox5
ENSMUSG00000027889	Ampd2
ENSMUSG00000022265	Ank
ENSMUSG00000054708	Ankrd24
ENSMUSG00000022237	Ankrd33b
ENSMUSG00000049985	Ankrd55
ENSMUSG00000064210	Ano6
ENSMUSG00000039062	Anpep
ENSMUSG00000024897	Apba1
ENSMUSG00000026786	Apbb1ip
ENSMUSG00000031996	Aplp2
ENSMUSG00000040613	Apobec1
ENSMUSG00000002985	Apoe
ENSMUSG00000022892	App
ENSMUSG00000032096	Arcn1
ENSMUSG00000019987	Arg1
ENSMUSG00000041225	Arhgap12
ENSMUSG00000036591	Arhgap21
ENSMUSG00000039831	Arhgap29
ENSMUSG00000033542	Arhgef5
ENSMUSG00000071324	Armc2
ENSMUSG00000022620	Arsa
ENSMUSG00000031591	Asah1
ENSMUSG00000024887	Asah2
ENSMUSG00000020774	Aspa
ENSMUSG00000028207	Asph
ENSMUSG00000026628	Atf3
ENSMUSG00000026663	Atf6
ENSMUSG00000028550	Atg4c
ENSMUSG00000026192	Atic
ENSMUSG00000029467	Atp2a2
ENSMUSG00000054843	Atrnl1
ENSMUSG00000046876	Atxn1
ENSMUSG00000002602	Axl
ENSMUSG00000043300	B3galnt1
ENSMUSG00000051950	B3glct
ENSMUSG00000056124	B4galt6
ENSMUSG00000025372	Baiap2
ENSMUSG00000038543	BC028528
ENSMUSG00000002980	Bcam
ENSMUSG00000089682	Bcl2l2
ENSMUSG00000042182	Bend6
ENSMUSG00000022098	Bmp1
ENSMUSG00000021796	Bmpr1a
ENSMUSG00000067336	Bmpr2
ENSMUSG00000062098	Btbd3
ENSMUSG00000036887	C1qa
ENSMUSG00000036905	C1qb
ENSMUSG00000036896	C1qc
ENSMUSG00000024371	C2
ENSMUSG00000040552	C3ar1
ENSMUSG00000073418	C4b
ENSMUSG00000046449	C77370
ENSMUSG00000017978	Cadps2
ENSMUSG00000032246	Calml4
ENSMUSG00000053819	Camk2d
ENSMUSG00000029471	Camkk2
ENSMUSG00000035547	Capn5
ENSMUSG00000049676	Catsperg1
ENSMUSG00000000058	Cav2
ENSMUSG00000022947	Cbr3
ENSMUSG00000039765	Cc2d2a
ENSMUSG00000032740	Ccdc88a
ENSMUSG00000004814	Ccl24
ENSMUSG00000019122	Ccl9
ENSMUSG00000027474	Ccm2l
ENSMUSG00000070348	Ccnd1
ENSMUSG00000008845	Cd163
ENSMUSG00000031494	Cd209a
ENSMUSG00000065987	Cd209b
ENSMUSG00000040165	Cd209c
ENSMUSG00000040197	Cd209e
ENSMUSG00000029084	Cd38
ENSMUSG00000015854	Cd5l
ENSMUSG00000075122	Cd80
ENSMUSG00000022901	Cd86
ENSMUSG00000021279	Cdc42bpb
ENSMUSG00000028926	Cdk14
ENSMUSG00000026437	Cdk18
ENSMUSG00000073802	Cdkn2b
ENSMUSG00000026649	Cfap126
ENSMUSG00000026546	Cfap45
ENSMUSG00000026365	Cfh
ENSMUSG00000001128	Cfp
ENSMUSG00000032232	Cgnl1
ENSMUSG00000004317	Clcn5
ENSMUSG00000022132	Cldn10
ENSMUSG00000000248	Clec2g
ENSMUSG00000030147	Clec4b1
ENSMUSG00000021097	Clmn
ENSMUSG00000047126	Cltc
ENSMUSG00000025545	Clybl
ENSMUSG00000022225	Cma1
ENSMUSG00000042190	Cmklr1
ENSMUSG00000031875	Cmtm3
ENSMUSG00000038070	Cntln
ENSMUSG00000034951	Cog7
ENSMUSG00000040690	Col16a1
ENSMUSG00000001435	Col18a1
ENSMUSG00000036103	Colec12
ENSMUSG00000034807	Colgalt1
ENSMUSG00000000326	Comt
ENSMUSG00000026553	Copa
ENSMUSG00000031458	Coprs
ENSMUSG00000001865	Cpa3
ENSMUSG00000028228	Cpne3
ENSMUSG00000052560	Cpne8
ENSMUSG00000032431	Crtap
ENSMUSG00000022723	Crybg3
ENSMUSG00000021947	Cryl1
ENSMUSG00000028199	Cryz
ENSMUSG00000021000	Ctage5
ENSMUSG00000047409	Ctdspl
ENSMUSG00000026011	Ctla4
ENSMUSG00000032359	Ctsh
ENSMUSG00000023078	Cxcl13
ENSMUSG00000021508	Cxcl14
ENSMUSG00000026456	Cyb5r1
ENSMUSG00000030447	Cyfip1
ENSMUSG00000049439	Cyp20a1
ENSMUSG00000063415	Cyp26b1
ENSMUSG00000022818	Cyp2ab1
ENSMUSG00000021259	Cyp46a1
ENSMUSG00000052821	Cysltr1
ENSMUSG00000042498	D330045A20Rik
ENSMUSG00000030347	D6Wsu163e
ENSMUSG00000022150	Dab2
ENSMUSG00000026883	Dab2ip
ENSMUSG00000035735	Dagla
ENSMUSG00000039206	Daglb
ENSMUSG00000021559	Dapk1
ENSMUSG00000035107	Dcbld2
ENSMUSG00000036862	Dchs1
ENSMUSG00000022419	Deptor
ENSMUSG00000003531	Dgcr6
ENSMUSG00000011382	Dhdh
ENSMUSG00000034480	Diaph2
ENSMUSG00000000168	Dlat
ENSMUSG00000030409	Dmpk
ENSMUSG00000030410	Dmwd
ENSMUSG00000021879	Dnah12
ENSMUSG00000005237	Dnah2
ENSMUSG00000074212	Dnajb14
ENSMUSG00000014905	Dnajb9
ENSMUSG00000027006	Dnajc10
ENSMUSG00000032560	Dnajc13
ENSMUSG00000026825	Dnm1
ENSMUSG00000058325	Dock1
ENSMUSG00000032198	Dock6
ENSMUSG00000028556	Dock7
ENSMUSG00000053687	Dpep2
ENSMUSG00000026958	Dpp7
ENSMUSG00000024501	Dpysl3
ENSMUSG00000039497	Dse
ENSMUSG00000047205	Dusp18
ENSMUSG00000022122	Ednrb
ENSMUSG00000001300	Efnb2
ENSMUSG00000022203	Efs
ENSMUSG00000032349	Elovl5
ENSMUSG00000024053	Emilin2
ENSMUSG00000058070	Eml1
ENSMUSG00000033857	Engase
ENSMUSG00000031109	Enox2
ENSMUSG00000027624	Epb41l1
ENSMUSG00000006445	Epha2
ENSMUSG00000026235	Epha4
ENSMUSG00000015766	Eps8
ENSMUSG00000040640	Erc2
ENSMUSG00000031483	Erlin2
ENSMUSG00000020715	Ern1
ENSMUSG00000004151	Etv1
ENSMUSG00000011831	Evi5
ENSMUSG00000061731	Ext1
ENSMUSG00000027198	Ext2
ENSMUSG00000027963	Extl2
ENSMUSG00000031443	F7
ENSMUSG00000062515	Fabp4
ENSMUSG00000019874	Fabp7
ENSMUSG00000040339	Fam102b
ENSMUSG00000026796	Fam129b
ENSMUSG00000026153	Fam135a
ENSMUSG00000050530	Fam171a1
ENSMUSG00000027955	Fam198b
ENSMUSG00000020614	Fam20a
ENSMUSG00000025854	Fam20c
ENSMUSG00000029059	Fam213b
ENSMUSG00000028439	Fam219a
ENSMUSG00000024187	Fam234a
ENSMUSG00000032265	Fam46a
ENSMUSG00000060568	Fam78b
ENSMUSG00000037119	Fam91a1
ENSMUSG00000006219	Fblim1
ENSMUSG00000026656	Fcgr2b
ENSMUSG00000003420	Fcgrt
ENSMUSG00000026938	Fcna
ENSMUSG00000020021	Fgd6
ENSMUSG00000031565	Fgfr1
ENSMUSG00000028573	Fggy
ENSMUSG00000095440	Fignl2
ENSMUSG00000003355	Fkbp11
ENSMUSG00000029781	Fkbp9
ENSMUSG00000025278	Flnb
ENSMUSG00000044042	Fmn1
ENSMUSG00000026193	Fn1
ENSMUSG00000039286	Fndc3b
ENSMUSG00000032725	Folr2
ENSMUSG00000003545	Fosb
ENSMUSG00000033386	Frrs1
ENSMUSG00000054752	Fsd1l
ENSMUSG00000030795	Fus
ENSMUSG00000046152	Fut10
ENSMUSG00000021065	Fut8
ENSMUSG00000044674	Fzd1
ENSMUSG00000049791	Fzd4
ENSMUSG00000041075	Fzd7
ENSMUSG00000025579	Gaa
ENSMUSG00000031608	Galnt7
ENSMUSG00000038860	Garnl3
ENSMUSG00000033066	Gas7
ENSMUSG00000005836	Gata6
ENSMUSG00000029536	Gatc
ENSMUSG00000015944	Gatsl2
ENSMUSG00000022707	Gbe1
ENSMUSG00000040264	Gbp2b
ENSMUSG00000038508	Gdf15
ENSMUSG00000027774	Gfm1
ENSMUSG00000048731	Ggnbp1
ENSMUSG00000021552	Gkap1
ENSMUSG00000045594	Glb1
ENSMUSG00000014303	Glis2
ENSMUSG00000021916	Glt8d1
ENSMUSG00000021794	Glud1
ENSMUSG00000091449	Gm10269
ENSMUSG00000072618	Gm10384
ENSMUSG00000074527	Gm14296
ENSMUSG00000078862	Gm14326
ENSMUSG00000093954	Gm16867
ENSMUSG00000079559	Gm684
ENSMUSG00000089901	Gm8113
ENSMUSG00000000001	Gnai3
ENSMUSG00000048240	Gng7
ENSMUSG00000042354	Gnl3
ENSMUSG00000034707	Gns
ENSMUSG00000034109	Golim4
ENSMUSG00000032513	Gorasp1
ENSMUSG00000047454	Gphn
ENSMUSG00000046733	Gprc5a
ENSMUSG00000008734	Gprc5b
ENSMUSG00000028597	Gpx7
ENSMUSG00000034708	Grn
ENSMUSG00000001665	Gstt3
ENSMUSG00000025534	Gusb
ENSMUSG00000028980	H6pd
ENSMUSG00000020017	Hal
ENSMUSG00000006930	Hap1
ENSMUSG00000035181	Heatr5a
ENSMUSG00000021665	Hexb
ENSMUSG00000006611	Hfe
ENSMUSG00000037260	Hgsnat
ENSMUSG00000026986	Hnmt
ENSMUSG00000000568	Hnrnpd
ENSMUSG00000007617	Homer1
ENSMUSG00000001249	Hpn
ENSMUSG00000022096	Hr
ENSMUSG00000045216	Hs6st1
ENSMUSG00000024507	Hsd17b4
ENSMUSG00000025092	Hspa12a
ENSMUSG00000063172	Hspb11
ENSMUSG00000034997	Htr2a
ENSMUSG00000029096	Htra3
ENSMUSG00000010047	Hyal2
ENSMUSG00000001029	Icam2
ENSMUSG00000025950	Idh1
ENSMUSG00000030541	Idh2
ENSMUSG00000041025	Iffo2
ENSMUSG00000038034	Igsf8
ENSMUSG00000019975	Ikbip
ENSMUSG00000022969	Il10rb
ENSMUSG00000026113	Inpp4a
ENSMUSG00000032737	Inppl1
ENSMUSG00000005534	Insr
ENSMUSG00000060733	Ipmk
ENSMUSG00000066232	Ipo7
ENSMUSG00000027598	Itch
ENSMUSG00000039115	Itga9
ENSMUSG00000030786	Itgam
ENSMUSG00000027276	Jag1
ENSMUSG00000053062	Jam2
ENSMUSG00000001552	Jup
ENSMUSG00000032194	Kank2
ENSMUSG00000018470	Kcnab3
ENSMUSG00000045404	Kcnk13
ENSMUSG00000046410	Kcnk6
ENSMUSG00000000794	Kcnn3
ENSMUSG00000034327	Kctd9
ENSMUSG00000026047	Kdelc1
ENSMUSG00000034487	Kdelc2
ENSMUSG00000021375	Kif13a
ENSMUSG00000050382	Kif7
ENSMUSG00000026585	Kifap3
ENSMUSG00000031788	Kifc3
ENSMUSG00000074749	Kiz
ENSMUSG00000037465	Klf10
ENSMUSG00000003032	Klf4
ENSMUSG00000000078	Klf6
ENSMUSG00000033863	Klf9
ENSMUSG00000054920	Klhl5
ENSMUSG00000071537	Klrg2
ENSMUSG00000037185	Krt80
ENSMUSG00000004383	Large
ENSMUSG00000032193	Ldlr
ENSMUSG00000057554	Lgals8
ENSMUSG00000054263	Lifr
ENSMUSG00000023022	Lima1
ENSMUSG00000024781	Lipa
ENSMUSG00000024770	Lipn
ENSMUSG00000024766	Lipo3
ENSMUSG00000049288	Lix1l
ENSMUSG00000016239	Lonrf3
ENSMUSG00000034205	Loxl2
ENSMUSG00000038668	Lpar1
ENSMUSG00000036957	Lrfn3
ENSMUSG00000034158	Lrrc58
ENSMUSG00000001870	Ltbp1
ENSMUSG00000024940	Ltbp3
ENSMUSG00000020377	Ltc4s
ENSMUSG00000025779	Ly96
ENSMUSG00000039246	Lyplal1
ENSMUSG00000030787	Lyve1
ENSMUSG00000069515	Lyz1
ENSMUSG00000074622	Mafb
ENSMUSG00000027377	Mall
ENSMUSG00000059401	Mamld1
ENSMUSG00000037306	Man1c1
ENSMUSG00000024085	Man2a1
ENSMUSG00000005142	Man2b1
ENSMUSG00000029119	Man2b2
ENSMUSG00000028164	Manba
ENSMUSG00000025037	Maoa
ENSMUSG00000031303	Map3k15
ENSMUSG00000032479	Map4
ENSMUSG00000029166	Mapre3
ENSMUSG00000026390	Marco
ENSMUSG00000044345	Marveld1
ENSMUSG00000024561	Mbd1
ENSMUSG00000022139	Mbnl2
ENSMUSG00000061068	Mcpt4
ENSMUSG00000009647	Mcu
ENSMUSG00000032418	Me1
ENSMUSG00000014361	Mertk
ENSMUSG00000039958	Mettl20
ENSMUSG00000030605	Mfge8
ENSMUSG00000038212	Mfsd14b
ENSMUSG00000040950	Mgl2
ENSMUSG00000040987	Mill2
ENSMUSG00000048416	Mlf1
ENSMUSG00000068036	Mllt4
ENSMUSG00000005373	Mlxipl
ENSMUSG00000020682	Mmp28
ENSMUSG00000073910	Mob3b
ENSMUSG00000061778	Mospd2
ENSMUSG00000026712	Mrc1
ENSMUSG00000024730	Ms4a8a
ENSMUSG00000025044	Msr1
ENSMUSG00000023094	Msrb2
ENSMUSG00000032584	Mst1r
ENSMUSG00000022255	Mtdh
ENSMUSG00000031337	Mtm1
ENSMUSG00000035078	Mtmr9
ENSMUSG00000040463	Mybbp1a
ENSMUSG00000022346	Myc
ENSMUSG00000053093	Myh7
ENSMUSG00000022272	Myo10
ENSMUSG00000018417	Myo1b
ENSMUSG00000030761	Myo7a
ENSMUSG00000001751	Naglu
ENSMUSG00000021640	Naip1
ENSMUSG00000071203	Naip5
ENSMUSG00000078942	Naip6
ENSMUSG00000032475	Nck1
ENSMUSG00000003458	Ncstn
ENSMUSG00000032012	Nectin1
ENSMUSG00000006411	Nectin4
ENSMUSG00000021918	Nek4
ENSMUSG00000037499	Nenf
ENSMUSG00000028565	Nfia
ENSMUSG00000055053	Nfic
ENSMUSG00000001911	Nfix
ENSMUSG00000079481	Nhsl2
ENSMUSG00000021806	Nid2
ENSMUSG00000095930	Nim1k
ENSMUSG00000021710	Nln
ENSMUSG00000037847	Nmrk1
ENSMUSG00000027378	Nphp1
ENSMUSG00000057113	Npm1
ENSMUSG00000032420	Nt5e
ENSMUSG00000035513	Ntng2
ENSMUSG00000028100	Nudt17
ENSMUSG00000034826	Nup54
ENSMUSG00000047592	Nxpe5
ENSMUSG00000021638	Ocln
ENSMUSG00000001173	Ocrl
ENSMUSG00000047094	Ofcc1
ENSMUSG00000025169	Ogfod3
ENSMUSG00000026833	Olfm1
ENSMUSG00000046618	Olfml2a
ENSMUSG00000022807	Osbpl11
ENSMUSG00000042616	Oscp1
ENSMUSG00000029470	P2rx4
ENSMUSG00000032860	P2ry2
ENSMUSG00000018906	P4ha2
ENSMUSG00000025330	Padi4
ENSMUSG00000029247	Paics
ENSMUSG00000038718	Pbx3
ENSMUSG00000041650	Pcca
ENSMUSG00000029998	Pcyox1
ENSMUSG00000023868	Pde10a
ENSMUSG00000025584	Pde8a
ENSMUSG00000025823	Pdia4
ENSMUSG00000022844	Pdia5
