Gene,Gene name,Module,Type,
ENSMUSG00000037361,Sf3b6,L2,TYPE_I,
ENSMUSG00000016257,Slmo2,L2,TYPE_I,
ENSMUSG00000020180,Snrpd3,L2,TYPE_I,TYPE_II
ENSMUSG00000029304,Spp1,L2,TYPE_I,TYPE_II
ENSMUSG00000020077,Srgn,L2,TYPE_I,TYPE_II
ENSMUSG00000014504,Srp19,L2,,
ENSMUSG00000079108,Srp54b,L2,,
ENSMUSG00000026511,Srp9,L2,,
ENSMUSG00000055436,Srsf11,L2,TYPE_I,
ENSMUSG00000030224,Strap,L2,TYPE_I,
ENSMUSG00000029125,Stx18,L2,TYPE_I,
ENSMUSG00000040297,Suco,L2,,TYPE_II
ENSMUSG00000031939,Taf1d,L2,TYPE_I,
ENSMUSG00000064289,Tank,L2,TYPE_I,TYPE_II
ENSMUSG00000022241,Tars,L2,,
ENSMUSG00000024498,Tcerg1,L2,,TYPE_II
ENSMUSG00000068039,Tcp1,L2,,
ENSMUSG00000029552,Tes,L2,,TYPE_II
ENSMUSG00000026049,Tex30,L2,TYPE_I,
ENSMUSG00000039005,Tlr4,L2,TYPE_I,
ENSMUSG00000025591,Tma16,L2,TYPE_I,TYPE_II
ENSMUSG00000067365,Tmem128,L2,,TYPE_II
ENSMUSG00000012422,Tmem167,L2,,
ENSMUSG00000046675,Tmem251,L2,,
ENSMUSG00000022752,Tomm70a,L2,TYPE_I,
ENSMUSG00000070544,Top1,L2,TYPE_I,
ENSMUSG00000027506,Tpd52,L2,,
ENSMUSG00000041763,Tpp2,L2,TYPE_I,
ENSMUSG00000022858,Tra2b,L2,,
ENSMUSG00000050747,Trim15,L2,,
ENSMUSG00000013736,Trnt1,L2,,
ENSMUSG00000020561,Twistnb,L2,,
ENSMUSG00000024583,Txnl1,L2,TYPE_I,
ENSMUSG00000034343,Ube2f,L2,TYPE_I,
ENSMUSG00000027746,Ufm1,L2,TYPE_I,
ENSMUSG00000025616,Usp16,L2,,
ENSMUSG00000054079,Utp18,L2,,TYPE_II
ENSMUSG00000021771,Vdac2,L2,TYPE_I,
ENSMUSG00000020078,Vps26a,L2,,
ENSMUSG00000041057,Wdr43,L2,TYPE_I,TYPE_II
ENSMUSG00000025995,Wdr75,L2,TYPE_I,TYPE_II
ENSMUSG00000041483,Zfp281,L2,TYPE_I,TYPE_II
ENSMUSG00000051341,Zfp52,L2,TYPE_I,TYPE_II
ENSMUSG00000067931,Zfp948,L2,TYPE_I,
ENSMUSG00000036469,Mar-01,L3,TYPE_I,TYPE_II
ENSMUSG00000059248,Sep-09,L3,TYPE_I,TYPE_II
ENSMUSG00000054676,1600014C10Rik,L3,TYPE_I,TYPE_II
ENSMUSG00000049643,2310022A10Rik,L3,TYPE_I,TYPE_II
ENSMUSG00000031125,3830403N18Rik,L3,TYPE_I,
ENSMUSG00000034959,5031414D18Rik,L3,TYPE_I,TYPE_II
ENSMUSG00000050549,5730508B09Rik,L3,TYPE_I,TYPE_II
ENSMUSG00000054672,5830411N06Rik,L3,,
ENSMUSG00000030111,A2m,L3,,TYPE_II
ENSMUSG00000089844,A530032D15Rik,L3,TYPE_I,TYPE_II
ENSMUSG00000057191,AB124611,L3,TYPE_I,TYPE_II
ENSMUSG00000032046,Abhd12,L3,TYPE_I,TYPE_II
ENSMUSG00000026341,Actr3,L3,,
ENSMUSG00000037860,Aim2,L3,TYPE_I,TYPE_II
ENSMUSG00000028792,Ak2,L3,,
ENSMUSG00000079036,Alkbh1,L3,,
ENSMUSG00000028028,Alpk1,L3,TYPE_I,
ENSMUSG00000050914,Ankrd37,L3,TYPE_I,TYPE_II
ENSMUSG00000028333,Anp32b,L3,,
ENSMUSG00000021322,Aoah,L3,TYPE_I,TYPE_II
ENSMUSG00000024480,Ap3s1,L3,,
ENSMUSG00000049562,Ap5b1,L3,,TYPE_II
ENSMUSG00000026786,Apbb1ip,L3,TYPE_I,TYPE_II
ENSMUSG00000042759,Apobr,L3,TYPE_I,
ENSMUSG00000030047,Arhgap25,L3,TYPE_I,TYPE_II
ENSMUSG00000048865,Arhgap30,L3,,
ENSMUSG00000040345,Arhgap9,L3,TYPE_I,TYPE_II
ENSMUSG00000043157,Arl11,L3,TYPE_I,TYPE_II
ENSMUSG00000029622,Arpc1b,L3,TYPE_I,
ENSMUSG00000079426,Arpc4,L3,,
ENSMUSG00000060216,Arrb2,L3,TYPE_I,TYPE_II
ENSMUSG00000026628,Atf3,L3,TYPE_I,
ENSMUSG00000040907,Atp1a3,L3,TYPE_I,TYPE_II
ENSMUSG00000060131,Atp8b4,L3,TYPE_I,
ENSMUSG00000043740,B430306N03Rik,L3,TYPE_I,TYPE_II
ENSMUSG00000017929,B4galt5,L3,TYPE_I,
ENSMUSG00000034266,Batf,L3,TYPE_I,TYPE_II
ENSMUSG00000003873,Bax,L3,,
ENSMUSG00000036948,BC037034,L3,,
ENSMUSG00000004446,Bid,L3,TYPE_I,TYPE_II
ENSMUSG00000030528,Blm,L3,TYPE_I,TYPE_II
ENSMUSG00000034663,Bmp2k,L3,TYPE_I,TYPE_II
ENSMUSG00000031264,Btk,L3,,
ENSMUSG00000022440,C1qtnf6,L3,,
ENSMUSG00000098470,C1rb,L3,,
ENSMUSG00000028656,Cap1,L3,,TYPE_II
ENSMUSG00000056737,Capg,L3,TYPE_I,
ENSMUSG00000070372,Capza1,L3,TYPE_I,
ENSMUSG00000028745,Capzb,L3,,
ENSMUSG00000026928,Card9,L3,,
ENSMUSG00000031885,Cbfb,L3,,
ENSMUSG00000047810,Ccdc88b,L3,TYPE_I,TYPE_II
ENSMUSG00000035352,Ccl12,L3,TYPE_I,TYPE_II
ENSMUSG00000035385,Ccl2,L3,TYPE_I,TYPE_II
ENSMUSG00000035373,Ccl7,L3,TYPE_I,TYPE_II
ENSMUSG00000004709,Cd244,L3,TYPE_I,TYPE_II
ENSMUSG00000034652,Cd300a,L3,TYPE_I,TYPE_II
ENSMUSG00000063193,Cd300lb,L3,TYPE_I,TYPE_II
ENSMUSG00000040747,Cd53,L3,,
ENSMUSG00000018774,Cd68,L3,TYPE_I,
ENSMUSG00000030156,Cd69,L3,TYPE_I,TYPE_II
ENSMUSG00000038147,Cd84,L3,TYPE_I,TYPE_II
ENSMUSG00000047832,Cdca4,L3,,
ENSMUSG00000014686,Ceacam16,L3,,
ENSMUSG00000026708,Cenpl,L3,,
ENSMUSG00000036672,Cenpt,L3,TYPE_I,
ENSMUSG00000068394,Cep152,L3,,
ENSMUSG00000090231,Cfb,L3,,
ENSMUSG00000037033,Clca3b,L3,,
ENSMUSG00000036636,Clcn7,L3,TYPE_I,TYPE_II
ENSMUSG00000030148,Clec4a2,L3,TYPE_I,TYPE_II
ENSMUSG00000023349,Clec4n,L3,,TYPE_II
ENSMUSG00000007041,Clic1,L3,TYPE_I,
ENSMUSG00000030720,Cln3,L3,,
ENSMUSG00000024644,Cndp2,L3,TYPE_I,
ENSMUSG00000030707,Coro1a,L3,TYPE_I,TYPE_II
ENSMUSG00000028337,Coro2a,L3,TYPE_I,TYPE_II
ENSMUSG00000031827,Cotl1,L3,TYPE_I,TYPE_II
ENSMUSG00000050967,Creg2,L3,,TYPE_II
ENSMUSG00000033467,Crlf2,L3,,
ENSMUSG00000032021,Crtam,L3,,
ENSMUSG00000059326,Csf2ra,L3,,
ENSMUSG00000071714,Csf2rb2,L3,TYPE_I,TYPE_II
ENSMUSG00000021939,Ctsb,L3,TYPE_I,
ENSMUSG00000018920,Cxcl16,L3,TYPE_I,TYPE_II
ENSMUSG00000006519,Cyba,L3,TYPE_I,
ENSMUSG00000030447,Cyfip1,L3,,
ENSMUSG00000020340,Cyfip2,L3,TYPE_I,TYPE_II
ENSMUSG00000036712,Cyld,L3,TYPE_I,
ENSMUSG00000003484,Cyp4f18,L3,TYPE_I,TYPE_II
ENSMUSG00000018008,Cyth4,L3,,TYPE_II
ENSMUSG00000037103,Dcaf15,L3,,
ENSMUSG00000026648,Dclre1c,L3,TYPE_I,TYPE_II
ENSMUSG00000005481,Ddx39,L3,,TYPE_II
ENSMUSG00000002257,Def6,L3,TYPE_I,TYPE_II
ENSMUSG00000032560,Dnajc13,L3,TYPE_I,
ENSMUSG00000027560,Dok5,L3,,
ENSMUSG00000022960,Donson,L3,TYPE_I,
ENSMUSG00000053687,Dpep2,L3,,TYPE_II
ENSMUSG00000029265,Dr1,L3,,TYPE_II
ENSMUSG00000029005,Draxin,L3,,
ENSMUSG00000027368,Dusp2,L3,TYPE_I,TYPE_II
ENSMUSG00000034765,Dusp5,L3,TYPE_I,TYPE_II
ENSMUSG00000092074,Dynlt1a,L3,,
ENSMUSG00000016477,E2f3,L3,TYPE_I,TYPE_II
ENSMUSG00000022842,Ece2,L3,TYPE_I,TYPE_II
ENSMUSG00000037868,Egr2,L3,TYPE_I,TYPE_II
ENSMUSG00000024937,Ehbp1l1,L3,TYPE_I,
ENSMUSG00000050439,Enthd1,L3,,
ENSMUSG00000017724,Etv4,L3,,TYPE_II
ENSMUSG00000036435,Exoc1,L3,,
ENSMUSG00000011263,Exoc3l2,L3,TYPE_I,
ENSMUSG00000032463,Faim,L3,,TYPE_II
ENSMUSG00000074071,Fam169b,L3,,
ENSMUSG00000022378,Fam49b,L3,TYPE_I,TYPE_II
ENSMUSG00000038274,Fau,L3,,
ENSMUSG00000006219,Fblim1,L3,TYPE_I,TYPE_II
ENSMUSG00000027204,Fbn1,L3,TYPE_I,TYPE_II
ENSMUSG00000058715,Fcer1g,L3,TYPE_I,
ENSMUSG00000026656,Fcgr2b,L3,TYPE_I,TYPE_II
ENSMUSG00000024742,Fen1,L3,,TYPE_II
ENSMUSG00000024965,Fermt3,L3,TYPE_I,
ENSMUSG00000053158,Fes,L3,TYPE_I,
ENSMUSG00000028874,Fgr,L3,,TYPE_II
ENSMUSG00000033386,Frrs1,L3,TYPE_I,TYPE_II
ENSMUSG00000009687,Fxyd5,L3,TYPE_I,
ENSMUSG00000022148,Fyb,L3,TYPE_I,
ENSMUSG00000090665,Gad1-ps,L3,,
ENSMUSG00000015027,Galns,L3,,
ENSMUSG00000037280,Galnt6,L3,TYPE_I,TYPE_II
ENSMUSG00000028048,Gba,L3,,
ENSMUSG00000031266,Gla,L3,TYPE_I,
ENSMUSG00000062310,Glrp1,L3,TYPE_I,
ENSMUSG00000091449,Gm10269,L3,,
ENSMUSG00000070713,Gm10282,L3,TYPE_I,TYPE_II
ENSMUSG00000073492,Gm10521,L3,,TYPE_II
ENSMUSG00000082976,Gm15056,L3,,
ENSMUSG00000095562,Gm21887,L3,,
ENSMUSG00000066487,Gm5786,L3,,
ENSMUSG00000048621,Gm6377,L3,TYPE_I,TYPE_II
ENSMUSG00000090588,Gm9573,L3,,
ENSMUSG00000078783,Gm9733,L3,,
ENSMUSG00000036246,Gmip,L3,,TYPE_II
ENSMUSG00000070284,Gmppb,L3,TYPE_I,TYPE_II
ENSMUSG00000029816,Gpnmb,L3,TYPE_I,TYPE_II
ENSMUSG00000021298,Gpr132,L3,TYPE_I,TYPE_II
ENSMUSG00000047293,Gpr15,L3,,
ENSMUSG00000071311,Gpr31b,L3,,TYPE_II
ENSMUSG00000026271,Gpr35,L3,,TYPE_II
ENSMUSG00000048216,Gpr85,L3,TYPE_I,TYPE_II
ENSMUSG00000034786,Gpsm3,L3,,
ENSMUSG00000001700,Gramd3,L3,TYPE_I,TYPE_II
ENSMUSG00000059923,Grb2,L3,,
ENSMUSG00000074886,Grk6,L3,TYPE_I,
ENSMUSG00000042638,Gucy2c,L3,,
ENSMUSG00000015937,H2afy,L3,TYPE_I,
ENSMUSG00000003283,Hck,L3,TYPE_I,TYPE_II
ENSMUSG00000022831,Hcls1,L3,TYPE_I,
ENSMUSG00000064109,Hcst,L3,TYPE_I,
ENSMUSG00000003038,Hmgn2,L3,,
ENSMUSG00000004070,Hmox2,L3,TYPE_I,TYPE_II
ENSMUSG00000017950,Hnf4a,L3,,
ENSMUSG00000046434,Hnrnpa1,L3,TYPE_I,
ENSMUSG00000042079,Hnrnpf,L3,,
ENSMUSG00000007617,Homer1,L3,TYPE_I,TYPE_II
ENSMUSG00000034987,Hrh2,L3,TYPE_I,TYPE_II
ENSMUSG00000024798,Htr7,L3,,
ENSMUSG00000029104,Htt,L3,,TYPE_II
ENSMUSG00000074342,I830077J02Rik,L3,TYPE_I,TYPE_II
ENSMUSG00000022971,Ifnar2,L3,,TYPE_II
ENSMUSG00000022965,Ifngr2,L3,TYPE_I,
ENSMUSG00000016529,Il10,L3,TYPE_I,TYPE_II
ENSMUSG00000032089,Il10ra,L3,TYPE_I,TYPE_II
ENSMUSG00000026420,Il24,L3,,
ENSMUSG00000003882,Il7r,L3,TYPE_I,TYPE_II
ENSMUSG00000064065,Ipcef1,L3,TYPE_I,TYPE_II
ENSMUSG00000021676,Iqgap2,L3,TYPE_I,TYPE_II
ENSMUSG00000059883,Irak4,L3,,TYPE_II
ENSMUSG00000031805,Jak3,L3,TYPE_I,TYPE_II
ENSMUSG00000023043,Krt18,L3,TYPE_I,
ENSMUSG00000044350,Lacc1,L3,TYPE_I,TYPE_II
ENSMUSG00000016534,Lamp2,L3,TYPE_I,TYPE_II
ENSMUSG00000028581,Laptm5,L3,TYPE_I,
ENSMUSG00000021998,Lcp1,L3,TYPE_I,
ENSMUSG00000002699,Lcp2,L3,TYPE_I,TYPE_II
ENSMUSG00000050335,Lgals3,L3,TYPE_I,
ENSMUSG00000009207,Lnpk1,L3,TYPE_I,
ENSMUSG00000000693,Loxl3,L3,TYPE_I,TYPE_II
ENSMUSG00000024696,Lpxn,L3,TYPE_I,TYPE_II
ENSMUSG00000049988,Lrrc25,L3,TYPE_I,
ENSMUSG00000042228,Lyn,L3,TYPE_I,TYPE_II
ENSMUSG00000025903,Lypla1,L3,,
ENSMUSG00000074622,Mafb,L3,TYPE_I,TYPE_II
ENSMUSG00000032575,Manf,L3,TYPE_I,TYPE_II
ENSMUSG00000004936,Map2k1,L3,TYPE_I,
ENSMUSG00000026669,Mcm10,L3,TYPE_I,TYPE_II
ENSMUSG00000058006,Mdn1,L3,TYPE_I,TYPE_II
ENSMUSG00000039208,Metrnl,L3,TYPE_I,TYPE_II
ENSMUSG00000027775,Mfsd1,L3,,
ENSMUSG00000043998,Mgat2,L3,,
ENSMUSG00000040528,Milr1,L3,TYPE_I,
ENSMUSG00000035158,Mitf,L3,TYPE_I,
ENSMUSG00000050578,Mmp13,L3,TYPE_I,TYPE_II
ENSMUSG00000000957,Mmp14,L3,TYPE_I,TYPE_II
ENSMUSG00000025355,Mmp19,L3,,TYPE_II
ENSMUSG00000018882,Mrpl45,L3,,
ENSMUSG00000101389,Ms4a4a,L3,,
ENSMUSG00000025044,Msr1,L3,TYPE_I,
ENSMUSG00000022369,Mtbp,L3,,
ENSMUSG00000029267,Mtf2,L3,,
